(-2.102477550506592, -4.668213844299316) | Chiang Rai | docs\images\Chiang Rai\VehicleImageData_Province_006689.jpg
(-2.0988755226135254, -4.667884826660156) | Chiang Rai | docs\images\Chiang Rai\VehicleImageData_Province_007278.jpg
(-2.0922045707702637, -4.649686813354492) | Chiang Rai | docs\images\Chiang Rai\VehicleImageData_Province_011446.jpg
(-2.0872116088867188, -4.675378322601318) | Chiang Rai | docs\images\Chiang Rai\VehicleImageData_Province_014778.jpg
(-2.0801913738250732, -4.662135124206543) | Chiang Rai | docs\images\Chiang Rai\VehicleImageData_Province_011634.jpg
(-2.0592379570007324, -4.735259532928467) | Chiang Rai | docs\images\Chiang Rai\VehicleImageData_Province_007721.jpg
(-1.7539833784103394, -3.956010103225708) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_008924.jpg
(-1.7349668741226196, -3.9360978603363037) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_008888.jpg
(-1.7308908700942993, -3.9433681964874268) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_011445.jpg
(-1.7244055271148682, -3.931107521057129) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_004238.jpg
(-1.717108964920044, -3.9480676651000977) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_006998.jpg
(-1.7136971950531006, -3.979247808456421) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_015299.jpg
(-1.7127395868301392, -3.9299893379211426) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_005089.jpg
(-1.7009360790252686, -3.92859148979187) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_011763.jpg
(-1.6997416019439697, -3.975835084915161) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_005168.jpg
(-1.6963691711425781, -3.967573642730713) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_008258.jpg
(-1.6900864839553833, -3.936677932739258) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_003396.jpg
(-1.6797627210617065, -3.911390781402588) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_002661.jpg
(-1.6001415252685547, -3.9718172550201416) | Chiang Mai | docs\images\Chiang Mai\VehicleImageData_Province_000928.jpg
(-1.5651600360870361, -4.137903213500977) | Chachoengsao | docs\images\Chachoengsao\VehicleImageData_Province_015589.jpg
(-1.5288593769073486, -5.890413284301758) | Udon Thani | docs\images\Udon Thani\VehicleImageData_Province_007015.jpg
(-1.5234681367874146, -5.867810249328613) | Udon Thani | docs\images\Udon Thani\VehicleImageData_Province_015538.jpg
(-1.5137892961502075, -5.868814468383789) | Udon Thani | docs\images\Udon Thani\VehicleImageData_Province_002859.jpg
(-1.500457525253296, -5.25611686706543) | Phetchaburi | docs\images\Phetchaburi\VehicleImageData_Province_003222.jpg
(-1.4956437349319458, -5.211628437042236) | Phetchaburi | docs\images\Phetchaburi\VehicleImageData_Province_012090.jpg
(-1.4838685989379883, -5.242488384246826) | Phetchaburi | docs\images\Phetchaburi\VehicleImageData_Province_012278.jpg
(-1.4383594989776611, -5.673121929168701) | Samut Prakan | docs\images\Samut Prakan\VehicleImageData_Province_010246.jpg
(-1.4316211938858032, -5.2711591720581055) | Phetchaburi | docs\images\Phetchaburi\VehicleImageData_Province_011673.jpg
(-1.4302642345428467, -5.181576728820801) | Phetchaburi | docs\images\Phetchaburi\VehicleImageData_Province_001962.jpg
(-1.4266239404678345, -5.560319423675537) | Samut Prakan | docs\images\Samut Prakan\VehicleImageData_Province_015701.jpg
(-1.4230897426605225, -5.25631046295166) | Phetchaburi | docs\images\Phetchaburi\VehicleImageData_Province_003190.jpg
(-1.1790536642074585, -6.031135082244873) | Nakhon Nayok | docs\images\Nakhon Nayok\005068.jpg
(-1.0549209117889404, -5.7158355712890625) | Nakhon Nayok | docs\images\Nakhon Nayok\004919.jpg
(-1.0524274110794067, -5.949609756469727) | Rayong | docs\images\Rayong\VehicleImageData_Province_006785.jpg
(-0.9078142642974854, -5.878943920135498) | Rayong | docs\images\Rayong\VehicleImageData_Province_015732.jpg
(-0.6888267397880554, -5.2266716957092285) | Bangkok | docs\images\Bangkok\VehicleImageData_Province_015593.jpg
(-0.6805962920188904, -6.320648670196533) | Phra Nakhon Si Ayutthaya | docs\images\Phra Nakhon Si Ayutthaya\VehicleImageData_Province_015595.jpg
(-0.6712539792060852, -6.356137752532959) | Phra Nakhon Si Ayutthaya | docs\images\Phra Nakhon Si Ayutthaya\VehicleImageData_Province_007454.jpg
(-0.6641342043876648, -6.338430881500244) | Phra Nakhon Si Ayutthaya | docs\images\Phra Nakhon Si Ayutthaya\VehicleImageData_Province_012790.jpg
(-0.6622200608253479, -5.330517292022705) | Bangkok | docs\images\Bangkok\VehicleImageData_Province_015583.jpg
(-0.6547883749008179, -6.326145172119141) | Phra Nakhon Si Ayutthaya | docs\images\Phra Nakhon Si Ayutthaya\VehicleImageData_Province_001178.jpg
(-0.6517930626869202, -5.306656360626221) | Bangkok | docs\images\Bangkok\VehicleImageData_Province_015599.jpg
(-0.6491089463233948, -6.314178466796875) | Phra Nakhon Si Ayutthaya | docs\images\Phra Nakhon Si Ayutthaya\VehicleImageData_Province_009693.jpg
(-0.6451400518417358, -6.339025497436523) | Phra Nakhon Si Ayutthaya | docs\images\Phra Nakhon Si Ayutthaya\VehicleImageData_Province_006888.jpg
(-0.5717760920524597, -5.212223529815674) | Bangkok | docs\images\Bangkok\VehicleImageData_Province_015597.jpg
